Code,Name,Country,Exchange,Currency,Type
1,Supercomnet Technologies Bhd,Malaysia,KLSE,MYR,Common Stock
2,Kotra Industries Bhd,Malaysia,KLSE,MYR,Common Stock
5,UCrest Bhd,Malaysia,KLSE,MYR,Common Stock
6,Pineapple Resources Bhd,Malaysia,KLSE,MYR,Common Stock
7,PUC Bhd,Malaysia,KLSE,MYR,Common Stock
8,Willowglen Msc Bhd,Malaysia,KLSE,MYR,Common Stock
10,IRIS Corporation Bhd,Malaysia,KLSE,MYR,Common Stock
11,Brite Tech Bhd,Malaysia,KLSE,MYR,Common Stock
12,Three-A Resources Bhd,Malaysia,KLSE,MYR,Common Stock
17,M3 Technologies (Asia) Bhd,Malaysia,KLSE,MYR,Common Stock
18,Lambo Group Bhd,Malaysia,KLSE,MYR,Common Stock
20,Netx Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
21,GHL Systems Bhd,Malaysia,KLSE,MYR,Common Stock
22,Parlo Bhd,Malaysia,KLSE,MYR,Common Stock
23,IFCA MSC Bhd,Malaysia,KLSE,MYR,Common Stock
24,JAG Bhd,Malaysia,KLSE,MYR,Common Stock
25,YBS International Bhd,Malaysia,KLSE,MYR,Common Stock
26,Nova MSC Bhd,Malaysia,KLSE,MYR,Common Stock
28,Scope Industries Berhad,Malaysia,KLSE,MYR,Common Stock
29,Digistar Corporation Bhd,Malaysia,KLSE,MYR,Common Stock
32,Redtone International Bhd,Malaysia,KLSE,MYR,Common Stock
34,MMAG Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
0034PA,MMAG Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
35,OPCOM Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
36,Key Alliance Group Bhd,Malaysia,KLSE,MYR,Common Stock
37,RGB International Bhd,Malaysia,KLSE,MYR,Common Stock
38,Plastrade Technology Bhd,Malaysia,KLSE,MYR,Common Stock
39,GFM Services Bhd,Malaysia,KLSE,MYR,Common Stock
40,OpenSys (M) Bhd,Malaysia,KLSE,MYR,Common Stock
41,MSCM Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
43,Metronic Global Bhd,Malaysia,KLSE,MYR,Common Stock
48,Ancom Logistics Bhd,Malaysia,KLSE,MYR,Common Stock
49,Oceancash Pacific Bhd,Malaysia,KLSE,MYR,Common Stock
50,Systech Bhd,Malaysia,KLSE,MYR,Common Stock
51,Cuscapi Bhd,Malaysia,KLSE,MYR,Common Stock
53,Osk Ventures International Bhd,Malaysia,KLSE,MYR,Common Stock
54,Karyon Industries Bhd,Malaysia,KLSE,MYR,Common Stock
55,Sersol Bhd,Malaysia,KLSE,MYR,Common Stock
56,Grand-Flo Bhd,Malaysia,KLSE,MYR,Common Stock
58,Jcbnext Bhd,Malaysia,KLSE,MYR,Common Stock
59,Ecobuilt Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
60,Vortex Consolidated Bhd,Malaysia,KLSE,MYR,Common Stock
64,Efficient E-Solutions Bhd,Malaysia,KLSE,MYR,Common Stock
65,Excel Force MSC Bhd,Malaysia,KLSE,MYR,Common Stock
66,Vsolar Group Bhd,Malaysia,KLSE,MYR,Common Stock
68,Asdion Bhd,Malaysia,KLSE,MYR,Common Stock
69,Vivocom Intl Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
70,MQ Technology Bhd,Malaysia,KLSE,MYR,Common Stock
72,AT Systematization Bhd,Malaysia,KLSE,MYR,Common Stock
74,Green Ocean Corporation Bhd,Malaysia,KLSE,MYR,Common Stock
75,LYC Healthcare Bhd,Malaysia,KLSE,MYR,Common Stock
78,GD Express Carrier Bhd,Malaysia,KLSE,MYR,Common Stock
79,Orion lXL Bhd,Malaysia,KLSE,MYR,Common Stock
